Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
4.71195,1.046125012,1.011242987,1.071233942,1.091194002,1.034321878,1.048442042
4.7286,1.046107217,1.011224014,1.071213032,1.091175834,1.034300907,1.048420804
4.74525,1.046089049,1.011204334,1.071191759,1.091157396,1.034279573,1.048399197
4.7619,1.046070582,1.01118403,1.071170244,1.091138782,1.034258002,1.048377344
4.77855,1.046051893,1.011163198,1.071148601,1.09112008,1.034236312,1.048355363
4.7952,1.046033052,1.011141935,1.071126934,1.09110137,1.034214613,1.048333359
4.81185,1.046014127,1.011120347,1.071105337,1.091082719,1.034192998,1.048311429
4.8285,1.04599518,1.011098534,1.071083887,1.091064185,1.034171548,1.048289652
4.84515,1.045976263,1.011076596,1.07106265,1.091045809,1.034150327,1.048268094
4.8618,1.045957422,1.011054624,1.071041672,1.091027622,1.034129379,1.048246802
4.87845,1.045938691,1.011032703,1.071020984,1.091009641,1.034108734,1.048225808
4.8951,1.045920096,1.011010904,1.071000602,1.09099187,1.034088405,1.048205126
4.91175,1.045901654,1.010989288,1.070980525,1.090974305,1.034068387,1.048184756
4.9284,1.045883374,1.010967903,1.07096074,1.090956928,1.034048664,1.048164685
4.94505,1.045865254,1.010946783,1.070941222,1.090939717,1.034029208,1.048144885
4.9617,1.045847288,1.010925949,1.070921937,1.090922642,1.034009981,1.048125322
4.97835,1.045829463,1.010905412,1.070902844,1.09090567,1.033990939,1.048105953
4.995,1.045811759,1.010885167,1.070883897,1.090888763,1.033972032,1.048086731
5.01165,1.045794156,1.010865202,1.070865046,1.090871886,1.033953211,1.048067605
5.0283,1.04577663,1.010845496,1.070846243,1.090855004,1.033934424,1.048048526
5.04495,1.045759156,1.01082602,1.07082744,1.090838082,1.033915624,1.048029446
5.0616,1.045741708,1.010806739,1.070808596,1.090821094,1.033896768,1.048010321
5.07825,1.045724265,1.010787616,1.070789671,1.090804014,1.033877818,1.047991112
5.0949,1.045706804,1.010768613,1.070770635,1.090786824,1.033858743,1.047971788
5.11155,1.045689308,1.010749691,1.070751463,1.090769511,1.033839523,1.047952324
5.1282,1.045671762,1.01073081,1.070732139,1.090752069,1.033820141,1.047932705
5.14485,1.045654155,1.010711939,1.070712655,1.090734499,1.033800593,1.047912922
5.1615,1.045636483,1.010693045,1.070693012,1.090716805,1.033780881,1.047892976
5.17815,1.045618742,1.010674103,1.070673217,1.090698999,1.033761014,1.047872876
5.1948,1.045600936,1.010655094,1.070653284,1.090681097,1.033741009,1.047852636
5.21145,1.04558307,1.010636004,1.070633234,1.090663117,1.03372089,1.047832278
5.2281,1.045565154,1.010616825,1.070613093,1.090645083,1.033700682,1.047811827
5.24475,1.045547202,1.010597556,1.070592891,1.090627018,1.033680417,1.047791315
5.2614,1.04552923,1.010578201,1.070572658,1.090608949,1.033660129,1.047770774
5.27805,1.045511253,1.010558771,1.070552429,1.090590901,1.033639849,1.047750237
5.2947,1.045493293,1.01053928,1.070532237,1.0905729,1.033619613,1.04772974
5.31135,1.045475367,1.010519745,1.070512115,1.090554969,1.033599454,1.047709315
5.328,1.045457496,1.01050019,1.070492094,1.090537131,1.0335794,1.047688993
